CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
48001950100,Texas,Anderson County,0,4685,1874,0,49,1.05,0,0,0,0,0,0,16.2,69750,1,1,0,0,0,1,0,0,700,700,NULL,218,218,NULL,3880,82.83,1231,26.29,860,18.36,707,15.10,3349,71.48,342,7.31,20,0.43,0,0.00,13,0.27,156,3.34,203,4.34,26,1.40,140,7.48,3480,74.28,1082,23.10,760,16.22,642,13.70,3049,65.08,269,5.75,15,0.33,0,0.00,9,0.19,137,2.93,188,4.02,16,0.84,125,6.68,700,14.94,218,4.64,152,3.25,124,2.64,652,13.91,35,0.74,1,0.02,0,0.00,2,0.04,11,0.22,18,0.38,3,0.17,27,1.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1653,1050,912,4012,452,22,0,13,186,236,46,165
48001950401,Texas,Anderson County,0,5422,77,1,5219,96.26,0,0,0,0,0,0,1.0,81750,1,1,0,0,0,1,0,0,5380,5380,NULL,1630,1630,NULL,5422,100.00,1643,30.30,63,1.16,24,0.44,1825,33.66,2266,41.79,21,0.39,0,0.00,5,0.09,1305,24.07,1324,24.42,0,0.00,0,0.00,5422,100.00,1643,30.30,63,1.16,24,0.44,1825,33.66,2266,41.79,21,0.39,0,0.00,5,0.09,1305,24.07,1324,24.42,0,0.00,0,0.00,5380,99.22,1630,30.07,53,0.97,23,0.43,1786,32.94,2264,41.75,21,0.39,0,0.00,5,0.09,1304,24.05,1323,24.40,0,0.00,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,63,24,1825,2266,21,0,5,1305,1324,0,0
48001950402,Texas,Anderson County,0,7535,83,1,7315,97.08,1,1,0,0,0,1,20.3,NULL,1,1,0,0,0,1,0,0,7535,7535,NULL,2118,2118,NULL,7535,100.00,2118,28.11,66,0.88,134,1.78,2591,34.39,3248,43.11,13,0.17,0,0.00,10,0.13,1673,22.20,1737,23.05,0,0.00,8,9.37,7535,100.00,2118,28.11,66,0.88,134,1.78,2591,34.39,3248,43.11,13,0.17,0,0.00,10,0.13,1673,22.20,1737,23.05,0,0.00,8,9.37,7535,100.00,2118,28.11,66,0.88,134,1.78,2591,34.39,3248,43.11,13,0.17,0,0.00,10,0.13,1673,22.20,1737,23.05,0,0.00,8,9.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,66,134,2591,3248,13,0,10,1673,1737,0,12
48001950500,Texas,Anderson County,1,4377,1604,0,86,1.96,1,1,1,1,1,1,21.1,38397,1,1,1,1,1,0,0,1,1948,3289,1948,1073,1888,1073,3289,75.13,1888,43.13,908,20.75,540,12.34,2187,49.97,604,13.80,16,0.37,2,0.05,13,0.30,466,10.65,806,18.42,115,7.16,232,14.45,1948,44.50,1073,24.51,489,11.17,383,8.75,1479,33.80,270,6.18,11,0.25,1,0.02,5,0.12,181,4.12,296,6.77,65,4.04,137,8.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2726,1293,627,2737,800,19,2,20,799,1389,130,310
48001950600,Texas,Anderson County,1,6405,2253,0,96,1.50,1,1,1,1,1,1,10.0,55868,1,1,1,1,1,0,0,1,5019,5755,5019,2651,3110,2651,5755,89.85,3110,48.56,1730,27.01,735,11.48,3629,56.66,1471,22.96,67,1.05,0,0.00,40,0.62,548,8.56,884,13.80,242,10.74,315,13.99,5019,78.35,2651,41.39,1478,23.08,646,10.09,3442,53.74,1009,15.76,63,0.98,0,0.00,40,0.62,465,7.25,714,11.15,209,9.27,275,12.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2964,1950,791,3831,1674,68,4,43,785,1253,230,289
48001950700,Texas,Anderson County,1,2640,903,0,229,8.67,0,1,0,0,0,1,27.5,39125,0,1,0,1,0,0,0,0,124,1319,124,86,915,86,1319,49.94,915,34.67,393,14.89,192,7.27,473,17.91,689,26.09,4,0.16,2,0.07,4,0.15,147,5.56,249,9.42,54,5.99,83,9.17,124,4.71,86,3.27,39,1.47,18,0.68,32,1.20,75,2.83,0,0.00,0,0.00,0,0.00,18,0.68,24,0.93,5,0.58,7,0.80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1589,754,327,1051,1164,8,3,8,406,685,89,143
48001950800,Texas,Anderson County,1,5246,2210,0,12,0.23,0,1,0,0,0,1,22.3,52768,0,1,0,1,0,0,0,0,302,3340,302,114,1198,114,3340,63.67,1198,22.84,833,15.87,583,11.11,2620,49.94,380,7.24,37,0.71,0,0.00,18,0.35,285,5.43,544,10.38,58,2.62,211,9.53,302,5.76,114,2.17,85,1.63,54,1.04,242,4.62,36,0.69,3,0.06,0,0.00,0,0.01,20,0.38,42,0.81,5,0.21,17,0.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2044,1350,821,3888,779,74,4,32,469,813,89,315
48001950901,Texas,Anderson County,0,5938,1795,0,1133,19.08,0,0,0,0,0,1,8.8,48243,0,0,0,0,0,0,0,0,257,257,NULL,129,129,NULL,5937,99.98,2933,49.39,1200,20.21,780,13.13,4527,76.24,742,12.49,27,0.45,3,0.05,21,0.35,617,10.39,777,13.08,52,2.88,131,7.28,5879,99.00,2909,48.98,1183,19.93,770,12.97,4487,75.56,735,12.37,27,0.45,3,0.05,21,0.35,607,10.22,756,12.73,51,2.83,129,7.20,257,4.33,129,2.18,29,0.49,43,0.73,165,2.78,74,1.24,0,0.01,0,0.00,0,0.00,18,0.30,26,0.43,3,0.16,6,0.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2620,1200,780,4528,742,27,3,21,617,777,51,134
48001950902,Texas,Anderson County,0,4834,2001,0,1,0.02,0,0,0,1,1,1,10.9,49515,0,0,0,0,0,0,0,1,350,350,NULL,164,164,NULL,4832,99.96,2122,43.90,1020,21.09,925,19.13,4048,83.73,472,9.76,11,0.23,0,0.00,31,0.64,271,5.60,499,10.32,147,7.36,164,8.21,4697,97.17,2081,43.05,990,20.47,899,18.60,3937,81.45,459,9.49,9,0.19,0,0.00,29,0.59,263,5.45,486,10.06,147,7.36,160,7.99,350,7.25,164,3.40,67,1.39,54,1.13,304,6.30,30,0.62,3,0.05,0,0.00,0,0.00,14,0.28,23,0.47,12,0.62,12,0.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2073,1020,925,4049,472,11,0,31,271,499,149,146
48001951000,Texas,Anderson County,0,6988,2652,0,77,1.10,0,0,0,0,0,0,13.7,57759,0,0,0,0,0,0,0,0,263,263,NULL,76,76,NULL,6976,99.83,2712,38.82,1729,24.75,1173,16.78,6335,90.65,329,4.71,15,0.21,2,0.03,56,0.80,240,3.43,338,4.83,41,1.56,295,11.12,6945,99.39,2705,38.71,1720,24.62,1167,16.69,6308,90.27,326,4.67,15,0.21,2,0.03,56,0.80,239,3.42,336,4.81,41,1.55,293,11.07,263,3.77,76,1.09,57,0.81,45,0.64,245,3.51,14,0.20,0,0.00,0,0.00,2,0.02,2,0.03,5,0.07,1,0.03,12,0.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2579,1733,1176,6344,331,15,2,56,240,338,38,305
